IncidentNumber,DateOfCall,CalYear,TimeOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_full,Postcode_district,UPRN,USRN,IncGeo_BoroughCode,IncGeo_BoroughName,ProperCase,IncGeo_WardCode,IncGeo_WardName,IncGeo_WardNameNew,Easting_m,Northing_m,Easting_rounded,Northing_rounded,Latitude,Longitude,FRS,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpMinutesRounded,Notional Cost (£),NumCalls,Year,Month,DayOfWeek,DayOfYear,Quarter,WeekOfYear,IsWeekend,IsNight,IsRushHour,IsPeakSeason,Distance_from_center,HasSecondPump,IncidentGroup_encoded,PropertyCategory_encoded,PropertyType_encoded,IncGeo_BoroughName_encoded,IncGeo_WardName_encoded,IncidentStationGround_encoded,FirstPumpArriving_DeployedFromStation_encoded,SpecialServiceType_encoded,Postcode_district_encoded
005773-14012018,2018-01-14,2018.0,17:04:56,17.0,Fire,Secondary Fire,Standard,Outdoor Structure,Small refuse/rubbish container,In street close to gazetteer location,SE20 7TT,SE20,10013151339.0,20302868.0,E09000006,BROMLEY,Bromley,E05013994,Clock House,Clock House,534979.0,169456.0,534950.0,169450.0,51.40807163,-0.060654286,London,Beckenham,302.0,Beckenham,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,11824.708461561777,0,1,6,172,4,145,5,5,18,161
005774-14012018,2018-01-14,2018.0,17:06:12,17.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,Unknown,SE5,0.0,22502278.0,E09000028,SOUTHWARK,Southwark,E05011115,St. Giles,St. Giles,,,533150.0,177150.0,,,London,Peckham,151.0,Peckham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,148,27,555,68,68,3,172
005777-14012018,2018-01-14,2018.0,17:11:35,17.0,False Alarm,False alarm - Good intent,Standard,Non Residential,Single shop ,Correct incident location,KT1 1DJ,KT1,100023000000.0,21800356.0,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013938,Kingston Town,Kingston Town,518160.0,169209.0,518150.0,169250.0,51.40960267,-0.302439927,London,Kingston,267.0,Surbiton,379.0,Kingston,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,16763.7668092958,1,0,3,171,20,350,50,85,18,94
005780-14012018,2018-01-14,2018.0,17:24:27,17.0,Special Service,Special Service,Removal of objects from people,Dwelling,House - single occupancy ,Correct incident location,Unknown,CR4,0.0,22104853.0,E09000024,MERTON,Merton,E05013822,Ravensbury,Ravensbury,,,527050.0,167950.0,,,London,Mitcham,133.0,Mitcham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,67,23,485,58,58,14,10
005781-14012018,2018-01-14,2018.0,17:26:23,17.0,False Alarm,AFA,Standard,Dwelling,Licensed House in Multiple Occupation - Up to 2 storeys ,Correct incident location,Unknown,NW10,0.0,20201593.0,E09000005,BRENT,Brent,E05013501,Harlesden & Kensal Green,Harlesden & Kensal Green,,,521350.0,183450.0,,,London,Park Royal,286.0,Willesden,407.0,North Kensington,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,0,2,84,3,279,67,99,18,126
005783-14012018,2018-01-14,2018.0,17:36:51,17.0,Fire,Primary Fire,Standard,Road Vehicle,Car ,In street outside gazetteer location,HA1 4PQ,HA1,100021000000.0,21201401.0,E09000015,HARROW,Harrow,E05013550,Headstone,Headstone,513925.0,188580.0,513950.0,188550.0,51.58457302,-0.35705601,London,Harrow,981.0,Harrow,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,18558.6265413628,0,1,8,21,14,292,36,36,18,75
005787-14012018,2018-01-14,2018.0,17:55:37,17.0,False Alarm,False alarm - Malicious,Standard,Non Residential,Underground car park,On land associated with building,SM1 1AJ,SM1,5870124658.0,22605497.0,E09000029,SUTTON,Sutton,E05013765,Sutton Central,Sutton Central,525668.0,164913.0,525650.0,164950.0,51.3693804,-0.19605998,London,Sutton,269.0,Sutton,272.0,Sutton,4.0,5.0,5.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,16294.199001082194,1,0,3,193,28,590,86,86,18,177
005788-14012018,2018-01-14,2018.0,17:55:55,17.0,Special Service,Special Service,Effecting entry/exit,Outdoor,Other outdoor location ,On land associated with building,N4 2HA,N4,10008286975.0,20900468.0,E09000012,HACKNEY,Hackney,E05009387,WOODBERRY DOWN,WOODBERRY DOWN,532368.0,186997.0,532350.0,186950.0,51.56632188,-0.091602018,London,Stoke Newington,296.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,6788.60889107481,0,2,5,119,11,632,83,83,3,119
005789-14012018,2018-01-14,2018.0,17:55:59,17.0,False Alarm,AFA,Standard,Non Residential,Theatre ,Correct incident location,W1D 4HS,W1D,100023000000.0,8400859.0,E09000033,WESTMINSTER,Westminster,E05013808,West End,West End,529792.0,181081.0,529750.0,181050.0,51.51375472,-0.130926348,London,Soho,146.0,Soho,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,1033.5306667143686,0,0,3,184,32,656,79,79,18,245
005790-14012018,2018-01-14,2018.0,17:57:03,17.0,Special Service,Special Service,No action (not false alarm),Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,SE13,0.0,22002049.0,E09000023,LEWISHAM,Lewisham,E05013726,Lee Green,Lee Green,,,538650.0,175050.0,,,London,Lewisham,233.0,Lewisham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,149,22,366,53,53,10,153
005791-14012018,2018-01-14,2018.0,17:57:32,17.0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,N17 8LP,N17,100021000000.0,21106423.0,E09000014,HARINGEY,Haringey,E05013587,Bruce Castle,Bruce Castle,532691.0,191514.0,532650.0,191550.0,51.60683718,-0.085239772,London,Tottenham,526.0,Tottenham,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,11267.387103725328,0,2,8,97,13,81,88,88,13,110
005793-14012018,2018-01-14,2018.0,18:19:19,18.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,W12,0.0,21001211.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013752,White City,White City,,,522450.0,180950.0,,,London,Hammersmith,345.0,Hammersmith,446.0,Hammersmith,1.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,0,2,149,12,674,34,34,18,240
005794-14012018,2018-01-14,2018.0,18:20:54,18.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,CR4,0.0,22101716.0,E09000024,MERTON,Merton,E05013813,Cricket Green,Cricket Green,,,527650.0,168650.0,,,London,Mitcham,308.0,Mitcham,448.0,Wimbledon,2.0,2.0,2.0,60.0,328.0,3.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,0,2,148,23,159,58,58,18,10
005795-14012018,2018-01-14,2018.0,18:21:55,18.0,False Alarm,AFA,Standard,Non Residential,Hospital ,Correct incident location,NW1 2BU,NW1,5124020.0,20400889.0,E09000007,CAMDEN,Camden,E05013653,Bloomsbury,Bloomsbury,529338.0,182311.0,529350.0,182350.0,51.5249126,-0.137014102,London,Euston,143.0,Euston,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,2257.7546378118313,0,0,3,64,5,58,27,27,18,125
005796-14012018,2018-01-14,2018.0,18:23:40,18.0,Special Service,Special Service,Other Transport incident,Road Vehicle,Car ,In street outside gazetteer location,SE1 3JU,SE1,10000816617.0,22502700.0,E09000028,SOUTHWARK,Southwark,E05011104,London Bridge & West Bermondsey,London Bridge & West Bermondsey,533322.0,179838.0,533350.0,179850.0,51.50176318,-0.080554546,London,Dockhead,371.0,Dockhead,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,2784.219332186163,0,2,8,21,27,374,18,18,11,149
005797-14012018,2018-01-14,2018.0,18:24:29,18.0,False Alarm,AFA,Standard,Dwelling,Self contained Sheltered Housing ,Correct incident location,Unknown,SW19,0.0,22105400.0,E09000024,MERTON,Merton,E05013825,Village,Village,,,523650.0,170550.0,,,London,Wimbledon,394.0,New Malden,470.0,Wandsworth,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,0,2,167,23,629,99,60,18,193
005800-14012018,2018-01-14,2018.0,18:29:24,18.0,Special Service,Special Service,Effecting entry/exit,Dwelling,House - single occupancy ,Correct incident location,Unknown,BR1,0.0,22003195.0,E09000023,LEWISHAM,Lewisham,E05013720,Downham,Downham,,,539550.0,171950.0,,,London,Bromley,422.0,Bromley,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,67,22,176,10,10,3,0
005801-14012018,2018-01-14,2018.0,18:32:18,18.0,False Alarm,False alarm - Good intent,Standard,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,Unknown,E8,0.0,20900470.0,E09000012,HACKNEY,Hackney,E05009372,HACKNEY CENTRAL,HACKNEY CENTRAL,,,534350.0,184950.0,,,London,Homerton,541.0,Homerton,850.0,Homerton,1.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,0,2,33,11,256,43,43,18,42
005805-14012018,2018-01-14,2018.0,18:36:07,18.0,False Alarm,AFA,Standard,Other Residential,Student Hall of Residence ,Correct incident location,EC1R 3GB,EC1R,10001297892.0,21604842.0,E09000019,ISLINGTON,Islington,E05013702,Clerkenwell,Clerkenwell,531313.0,182236.0,531350.0,182250.0,51.52378332,-0.108589414,London,Shoreditch,289.0,Shoreditch,291.0,Soho,4.0,5.0,5.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,1929.4099968288997,1,0,4,177,18,144,77,77,18,47
005807-14012018,2018-01-14,2018.0,18:40:32,18.0,Fire,Secondary Fire,Standard,Outdoor Structure,Common external bin storage area,On land associated with building,SW12 9DY,SW12,200000000000.0,21900134.0,E09000022,LAMBETH,Lambeth,E05014099,Clapham Common & Abbeville,Clapham Common & Abbeville,528816.0,174241.0,528850.0,174250.0,51.45250731,-0.1474761,London,Clapham,237.0,Clapham,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,6453.22790175087,0,1,6,30,21,138,14,14,18,186
005810-14012018,2018-01-14,2018.0,18:43:05,18.0,False Alarm,AFA,Standard,Non Residential,Leisure Centre ,Correct incident location,N1 5JU,N1,100023000000.0,20900545.0,E09000012,HACKNEY,Hackney,E05009377,HOXTON EAST & SHOREDITCH,HOXTON EAST & SHOREDITCH,533013.0,183562.0,533050.0,183550.0,51.53530177,-0.083598831,London,Shoreditch,531.0,Stoke Newington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,3942.120929060512,0,0,3,81,11,262,77,83,18,102
005813-14012018,2018-01-14,2018.0,18:47:14,18.0,Special Service,Special Service,Flooding,Dwelling,House - single occupancy ,Within same building,Unknown,CR0,0.0,20501694.0,E09000008,CROYDON,Croydon,E05011481,Selsdon Vale & Forestdale,Selsdon Vale & Forestdale,,,536850.0,162250.0,,,London,Addington,316.0,Addington,,None,1.0,1.0,1.0,69.0,377.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,67,7,515,1,1,5,8
005815-14012018,2018-01-14,2018.0,18:49:01,18.0,False Alarm,False alarm - Good intent,Standard,Non Residential,Other car park structure,Within same building,SE6 2TP,SE6,10023226805.0,22005979.0,E09000023,LEWISHAM,Lewisham,E05013730,Rushey Green,Rushey Green,537621.0,173537.0,537650.0,173550.0,51.44411051,-0.02110858,London,Lewisham,292.0,Lewisham,337.0,Forest Hill,2.0,2.0,2.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,9844.372192110359,1,0,3,108,22,501,53,53,18,173
005817-14012018,2018-01-14,2018.0,18:54:08,18.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,Unknown,IG11,0.0,19900751.0,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014066,Northbury,Northbury,,,544350.0,184450.0,,,London,Barking,331.0,Barking,358.0,East Ham,4.0,5.0,5.0,114.0,623.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,0,2,148,0,425,2,2,18,85
005820-14012018,2018-01-14,2018.0,19:04:39,19.0,Fire,Primary Fire,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,NW1,0.0,20400784.0,E09000007,CAMDEN,Camden,E05013669,St. Pancras & Somers Town,St. Pancras & Somers Town,,,529550.0,183450.0,,,London,Euston,185.0,Euston,272.0,Kentish Town,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,1,2,148,5,569,27,27,18,125
005822-14012018,2018-01-14,2018.0,19:04:41,19.0,Fire,Primary Fire,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,E14,0.0,22700419.0,E09000030,TOWER HAMLETS,Tower Hamlets,E05009327,Mile End,Mile End,,,537150.0,181350.0,,,London,Poplar,227.0,Poplar,317.0,Millwall,2.0,2.0,2.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,1,2,148,29,393,71,71,18,29
005823-14012018,2018-01-14,2018.0,19:05:09,19.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,Unknown,W3,0.0,20601052.0,E09000009,EALING,Ealing,E05013536,South Acton,South Acton,,,519950.0,180450.0,,,London,Acton,154.0,Acton,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,147,8,527,0,0,5,256
005825-14012018,2018-01-14,2018.0,19:15:31,19.0,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Correct incident location,Unknown,EN3,0.0,20702403.0,E09000010,ENFIELD,Enfield,E05013689,Ponders End,Ponders End,,,535450.0,195750.0,,,London,Enfield,303.0,Enfield,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,33,9,471,25,25,5,69
005826-14012018,2018-01-14,2018.0,19:15:48,19.0,Fire,Secondary Fire,Standard,Outdoor Structure,Large refuse/rubbish container (eg skip/ paladin),On land associated with building,N1 2FX,N1,5300013511.0,21606799.0,E09000019,ISLINGTON,Islington,E05013701,Canonbury,Canonbury,532364.0,184580.0,532350.0,184550.0,51.54460254,-0.092568038,London,Islington,440.0,Shoreditch,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,4497.123434887864,0,1,6,77,18,110,47,77,18,102
005827-14012018,2018-01-14,2018.0,19:17:42,19.0,False Alarm,False alarm - Good intent,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,W4,0.0,21590005.0,E09000018,HOUNSLOW,Hounslow,E05013609,Chiswick Gunnersbury,Chiswick Gunnersbury,,,520650.0,178650.0,,,London,Chiswick,205.0,Chiswick,467.0,Hammersmith,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,1,0,2,67,17,133,13,13,18,257
005829-14012018,2018-01-14,2018.0,19:29:07,19.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Within same building,Unknown,NW6,0.0,20200579.0,E09000005,BRENT,Brent,E05013503,Kilburn,Kilburn,,,525250.0,182850.0,,,London,Paddington,261.0,Paddington,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,147,3,345,66,66,5,132
005831-14012018,2018-01-14,2018.0,19:47:17,19.0,Special Service,Special Service,Effecting entry/exit,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,N6,0.0,21106147.0,E09000014,HARINGEY,Haringey,E05013588,Crouch End,Crouch End,,,529550.0,187750.0,,,London,Holloway,293.0,Holloway,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,1,0,,0,2,2,148,13,164,42,42,3,121
005840-14012018,2018-01-14,2018.0,20:11:58,20.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - 10 or more storeys ,Correct incident location,Unknown,E2,0.0,22700764.0,E09000030,TOWER HAMLETS,Tower Hamlets,E05009317,Bethnal Green,Bethnal Green,,,535650.0,183150.0,,,London,Bethnal Green,214.0,Bethnal Green,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,,0,2,2,147,29,49,6,6,5,35
005841-14012018,2018-01-14,2018.0,20:19:46,20.0,False Alarm,AFA,Standard,Non Residential,Other education establishment,Correct incident location,SW11 2HB,SW11,121031660.0,22906361.0,E09000032,WANDSWORTH,Wandsworth,E05014012,Falconbrook,Falconbrook,526851.0,175887.0,526850.0,175850.0,51.46774322,-0.175151376,London,Battersea,163.0,Battersea,,None,1.0,1.0,1.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,5901.625361377281,0,0,3,110,31,211,4,4,18,185
005843-14012018,2018-01-14,2018.0,20:21:16,20.0,Special Service,Special Service,Effecting entry/exit,Non Residential,College/University ,Within same building,UB8 1NA,UB8,10022796506.0,21401470.0,E09000017,HILLINGDON,Hillingdon,E05013580,Uxbridge,Uxbridge,505269.0,184542.0,505250.0,184550.0,51.54996022,-0.483151173,London,Hillingdon,350.0,Hillingdon,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,25664.669579775258,0,2,3,29,16,622,41,41,3,236
005847-14012018,2018-01-14,2018.0,21:04:34,21.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,Unknown,N16,0.0,20900321.0,E09000012,HACKNEY,Hackney,E05009385,STOKE NEWINGTON,STOKE NEWINGTON,,,533250.0,186450.0,,,London,Stoke Newington,454.0,Holloway,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,,0,2,2,149,11,510,83,42,5,109
005848-14012018,2018-01-14,2018.0,21:09:02,21.0,Special Service,Special Service,Removal of objects from people,Non Residential,Fire station ,Correct incident location,W1D 5ET,W1D,100023000000.0,8400552.0,E09000033,WESTMINSTER,Westminster,E05013806,St. James's,St. James's,529856.0,180944.0,529850.0,180950.0,51.51250883,-0.130054996,London,Soho,7.0,Soho,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,901.0634891949073,0,2,3,52,32,560,79,79,14,245
005849-14012018,2018-01-14,2018.0,21:09:59,21.0,Special Service,Special Service,Flooding,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Within same building,Unknown,W4,0.0,21500176.0,E09000018,HOUNSLOW,Hounslow,E05013610,Chiswick Homefields,Chiswick Homefields,,,521250.0,177750.0,,,London,Chiswick,303.0,Chiswick,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,,0,2,2,149,17,134,13,13,5,257
005851-14012018,2018-01-14,2018.0,21:15:23,21.0,False Alarm,AFA,Standard,Other Residential,Nursing/Care Home/Hospice,Correct incident location,UB7 7AU,UB7,100022000000.0,21400910.0,E09000017,HILLINGDON,Hillingdon,E05013581,West Drayton,West Drayton,505823.0,179948.0,505850.0,179950.0,51.50856429,-0.476543648,London,Hayes,301.0,Hayes,582.0,Heathrow,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,24785.907610322192,1,0,4,101,16,654,37,37,18,235
005852-14012018,2018-01-14,2018.0,21:19:04,21.0,False Alarm,False alarm - Good intent,Standard,Outdoor,Domestic garden (vegetation not equipment) ,On land associated with building,BR3 5JB,BR3,100020000000.0,20301762.0,E09000006,BROMLEY,Bromley,E05013987,Beckenham Town & Copers Cope,Beckenham Town & Copers Cope,537494.0,169496.0,537450.0,169450.0,51.40782749,-0.024501174,London,Beckenham,151.0,Beckenham,337.0,Bromley,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,12933.599500032573,1,0,5,43,4,37,5,5,18,2
005853-14012018,2018-01-14,2018.0,21:20:05,21.0,Fire,Primary Fire,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,Unknown,SE5,0.0,21900453.0,E09000022,LAMBETH,Lambeth,E05014104,Herne Hill & Loughborough Junction,Herne Hill & Loughborough Junction,,,532550.0,175350.0,,,London,Brixton,268.0,Brixton,757.0,Brixton,1.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,,1,1,2,148,21,299,9,9,18,172
005855-14012018,2018-01-14,2018.0,21:26:23,21.0,False Alarm,AFA,Standard,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,Unknown,CR4,0.0,22101716.0,E09000024,MERTON,Merton,E05013813,Cricket Green,Cricket Green,,,527650.0,168650.0,,,London,Mitcham,251.0,Mitcham,493.0,Wimbledon,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,,1,0,2,148,23,159,58,58,18,10
005856-14012018,2018-01-14,2018.0,21:36:41,21.0,Fire,Primary Fire,Standard,Road Vehicle,Car ,In street outside gazetteer location,RM9 6LF,RM9,10090630148.0,19900780.0,E09000002,BARKING AND DAGENHAM,Barking And dagenham,E05014055,Barking Riverside,Barking Riverside,548311.0,182347.0,548350.0,182350.0,51.52057557,0.136300182,London,Dagenham,544.0,Dagenham,560.0,Dagenham,2.0,3.0,3.0,66.0,361.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,17809.231477537203,1,1,8,21,0,26,16,16,18,148
005857-14012018,2018-01-14,2018.0,21:38:15,21.0,False Alarm,AFA,Standard,Other Residential,Hotel/motel ,Correct incident location,KT8 9BN,KT8,100023000000.0,22406635.0,E09000027,RICHMOND UPON THAMES,Richmond Upon thames,E05013778,Hampton,Hampton,515384.0,168596.0,515350.0,168550.0,51.40466407,-0.342535174,London,Twickenham,347.0,Twickenham,358.0,Twickenham,2.0,3.0,3.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,19286.420516979553,1,0,4,66,26,271,89,89,18,100
005858-14012018,2018-01-14,2018.0,21:40:37,21.0,False Alarm,AFA,Standard,Other Residential,Student Hall of Residence ,Correct incident location,SE5 8AN,SE5,200003000000.0,22500477.0,E09000028,SOUTHWARK,Southwark,E05011097,Champion Hill,Champion Hill,532893.0,175639.0,532850.0,175650.0,51.46412914,-0.088310381,London,Peckham,257.0,Peckham,406.0,New Cross,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,5320.184327146295,1,0,4,177,27,121,68,68,18,172
005859-14012018,2018-01-14,2018.0,21:44:40,21.0,False Alarm,AFA,Standard,Non Residential,Purpose built office ,Correct incident location,W6 9JU,W6,34130873.0,21000478.0,E09000013,HAMMERSMITH AND FULHAM,Hammersmith And fulham,E05013741,Hammersmith Broadway,Hammersmith Broadway,522848.0,178529.0,522850.0,178550.0,51.49236998,-0.231834114,London,Hammersmith,200.0,Hammersmith,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,7988.328685605425,0,0,3,150,12,269,34,34,18,259
005860-14012018,2018-01-14,2018.0,21:45:48,21.0,Special Service,Special Service,RTC,Road Vehicle,Car ,In street close to gazetteer location,E16 2QD,E16,10008995598.0,22208110.0,E09000025,NEWHAM,Newham,E05013922,Royal Albert,Royal Albert,542036.0,180878.0,542050.0,180850.0,51.50898699,0.045327174,London,Plaistow,320.0,East Ham,794.0,Plaistow,2.0,2.0,2.0,60.0,328.0,2.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,11440.334521325916,1,2,8,21,24,496,69,22,13,31
005862-14012018,2018-01-14,2018.0,21:53:55,21.0,Fire,Secondary Fire,Standard,Outdoor,Loose refuse ,On land associated with building,KT9 1PP,KT9,128017169.0,21800861.0,E09000021,KINGSTON UPON THAMES,Kingston Upon thames,E05013935,Hook & Chessington North,Hook & Chessington North,517787.0,164877.0,517750.0,164850.0,51.37074419,-0.30923448,London,Surbiton,324.0,Surbiton,,None,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,0,0,0,20162.627572034842,0,1,5,86,20,317,85,85,18,101
005865-14012018,2018-01-14,2018.0,22:07:04,22.0,Fire,Primary Fire,Standard,Dwelling,House - single occupancy ,Correct incident location,Unknown,E6,0.0,22200566.0,E09000025,NEWHAM,Newham,E05013904,Beckton,Beckton,,,543250.0,180950.0,,,London,East Ham,186.0,East Ham,263.0,Plaistow,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,1,0,0,,1,1,2,67,24,38,22,22,18,40
005866-14012018,2018-01-14,2018.0,22:08:05,22.0,Special Service,Special Service,RTC,Road Vehicle,Multiple Vehicles ,In street outside gazetteer location,SE6 4AF,SE6,100024000000.0,22004211.0,E09000023,LEWISHAM,Lewisham,E05013730,Rushey Green,Rushey Green,537782.0,173863.0,537750.0,173850.0,51.44700094,-0.01866663,London,Lewisham,171.0,Lewisham,245.0,Forest Hill,2.0,2.0,2.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,1,0,0,9736.608699056645,1,2,8,97,22,501,53,53,13,173
005867-14012018,2018-01-14,2018.0,22:08:45,22.0,Special Service,Special Service,Flooding,Dwelling,Converted Flat/Maisonettes - 3 or more storeys,Correct incident location,Unknown,SW18,0.0,22904768.0,E09000032,WANDSWORTH,Wandsworth,E05014028,Wandsworth Town,Wandsworth Town,,,526850.0,174950.0,,,London,Battersea,263.0,Battersea,,None,1.0,1.0,1.0,60.0,328.0,1.0,2018.0,1.0,6.0,14.0,1.0,2,1,1,0,0,,0,2,2,34,31,641,4,4,5,192
